This spreasheet shows you the top gross movies between 2007 and 2011.,,,,,
Film,Genre,Lead Studio,Rotten Tomatoes %,Worldwide Gross,Year
Zack and Miri Make a Porno,Romance,The Weinstein Company,64,$41.94 ,2008
Youth in Revolt,Comedy,The Weinstein Company,68,$19.62 ,2010
You Will Meet a Tall Dark Stranger,Comedy,Independent,43,$26.66 ,2010
When in Rome,Comedy,Disney,15,$43.04 ,2010
What Happens in Vegas,Comedy,Fox,28,$219.37 ,2008
Water For Elephants,Drama,20th Century Fox,60,$117.09 ,2011
WALL-E,Animation,Disney,96,$521.28 ,2008
Waitress,Romance,Independent,89,$22.18 ,2007
Waiting For Forever,Romance,Independent,6,$0.03 ,2011
Valentine's Day,Comedy,Warner Bros.,17,$217.57 ,2010
Tyler Perry's Why Did I get Married,Romance,Independent,46,$55.86 ,2007
Twilight: Breaking Dawn,Romance,Independent,26,$702.17 ,2011
Twilight,Romance,Summit,49,$376.66 ,2008
The Ugly Truth,Comedy,Independent,14,$205.30 ,2009
The Twilight Saga: New Moon,Drama,Summit,27,$709.82 ,2009
The Time Traveler's Wife,Drama,Paramount,38,$101.33 ,2009
The Proposal,Comedy,Disney,43,$314.70 ,2009
The Invention of Lying,Comedy,Warner Bros.,56,$32.40 ,2009
The Heartbreak Kid,Comedy,Paramount,30,$127.77 ,2007
The Duchess,Drama,Paramount,60,$43.31 ,2008
The Curious Case of Benjamin Button,Fantasy,Warner Bros.,73,$285.43 ,2008
The Back-up Plan,Comedy,CBS,20,$77.09 ,2010
Tangled,Animation,Disney,89,$355.01 ,2010
Something Borrowed,Romance,Independent,15,$60.18 ,2011
She's Out of My League,Comedy,Paramount,57,$48.81 ,2010
Sex and the City Two,Comedy,Warner Bros.,15,$288.35 ,2010
Sex and the City 2,Comedy,Warner Bros.,15,$288.35 ,2010
Sex and the City,Comedy,Warner Bros.,49,$415.25 ,2008
Remember Me,Drama,Summit,28,$55.86 ,2010
Rachel Getting Married,Drama,Independent,85,$16.61 ,2008
Penelope,Comedy,Summit,52,$20.74 ,2008
P.S. I Love You,Romance,Independent,21,$153.09 ,2007
Over Her Dead Body,Comedy,New Line,15,$20.71 ,2008
Our Family Wedding,Comedy,Independent,14,$21.37 ,2010
One Day,Romance,Independent,37,$55.24 ,2011
Not Easily Broken,Drama,Independent,34,$10.70 ,2009
No Reservations,Comedy,Warner Bros.,39,$92.60 ,2007
Nick and Norah's Infinite Playlist,Comedy,Sony,73,$33.53 ,2008
New Year's Eve,Romance,Warner Bros.,8,$142.04 ,2011
My Week with Marilyn,Drama,The Weinstein Company,83,$8.26 ,2011
Music and Lyrics,Romance,Warner Bros.,63,$145.90 ,2007
Monte Carlo,Romance,20th Century Fox,38,$39.66 ,2011
Miss Pettigrew Lives for a Day,Comedy,Independent,78,$15.17 ,2008
Midnight in Paris,Romence,Sony,93,$148.66 ,2011
Marley and Me,Comedy,Fox,63,$206.07 ,2008
Mamma Mia!,Comedy,Universal,53,$609.47 ,2008
Mamma Mia!,Comedy,Universal,53,$609.47 ,2008
Made of Honor,Comdy,Sony,13,$105.96 ,2008
Love Happens,Drama,Universal,18,$36.08 ,2009
Love & Other Drugs,Comedy,Fox,48,$54.53 ,2010
Life as We Know It,Comedy,Independent,28,$96.16 ,2010
License to Wed,Comedy,Warner Bros.,8,$69.31 ,2007
Letters to Juliet,Comedy,Summit,40,$79.18 ,2010
Leap Year,Comedy,Universal,21,$32.59 ,2010
Knocked Up,Comedy,Universal,91,$219 ,2007
Killers,Action,Lionsgate,11,$93.40 ,2010
Just Wright,Comedy,Fox,45,$21.57 ,2010
Jane Eyre,Romance,Universal,85,$30.15 ,2011
It's Complicated,Comedy,Universal,56,$224.60 ,2009
I Love You Phillip Morris,Comedy,Independent,71,$20.10 ,2010
High School Musical 3: Senior Year,Comedy,Disney,65,$252.04 ,2008
He's Just Not That Into You,Comedy,Warner Bros.,42,$178.84 ,2009
Good Luck Chuck,Comedy,Lionsgate,3,$59.19 ,2007
Going the Distance,Comedy,Warner Bros.,53,$42.05 ,2010
Gnomeo and Juliet,Animation,Disney,56,$193.97 ,2011
Gnomeo and Juliet,Animation,Disney,56,$193.97 ,2011
Ghosts of Girlfriends Past,Comedy,Warner Bros.,27,$102.22 ,2009
Four Christmases,Comedy,Warner Bros.,26,$161.83 ,2008
Fireproof,Drama,Independent,40,$33.47 ,2008
Enchanted,Comedy,Disney,93,$340.49 ,2007
Dear John,Drama,Sony,29,$114.97 ,2010
Beginners,Comedy,Independent,84,$14.31 ,2011
Across the Universe,romance,Independent,54,$29.37 ,2007
A Serious Man,Drama,Universal,89,$30.68 ,2009
A Dangerous Method,Drama,Independent,79,$8.97 ,2011
27 Dresses,Comedy,Fox,40,$160.31 ,2008
(500) Days of Summer,comedy,Fox,87,$60.72 ,2009
